readId	equalMatches
132:753|0fa58c0d-be36-4e46-9229-249c1ed430cb	71
138:769|49f71e55-65c2-4527-9773-2d2d14aa13f0	71
134:1386|fc089ec9-6751-42e6-9bab-d10ad1f49f50	74
125:1362|6bd4394b-7505-4786-8a56-bc46a9c81ebc	74
129:1399|f90c8fa6-8bcc-45db-9d09-e06019a8c966	74
126:1494|c22f0eb5-3c2a-4e59-9380-e64945a9022a	74
131:1983|b18669a5-a7f5-466f-9b5a-8b5aa33e739e	1969
105:954|95c75484-b511-47c7-9f09-02594006c713	1969
129:1964|3f2c1072-30c1-47a5-a7ee-19ae37fbd7a3	1969
131:979|bdeed9ce-a96c-4389-8b3b-d11bd091f42b	1969
